,nav
2023-01-02,1.0
2023-01-03,1.0
2023-01-04,1.0
2023-01-05,1.0
2023-01-06,1.0
2023-01-09,1.0
2023-01-10,1.0
2023-01-11,1.0
2023-01-12,1.0
2023-01-13,1.0
2023-01-16,1.0
2023-01-17,1.0
2023-01-18,1.0
2023-01-19,1.0
2023-01-20,1.0
2023-01-23,1.0
2023-01-24,1.0
2023-01-25,1.0
2023-01-26,1.0
2023-01-27,1.0
2023-01-30,1.0
2023-01-31,1.0
2023-02-01,1.0
2023-02-02,1.0
2023-02-03,1.0
2023-02-06,1.0
2023-02-07,1.0
2023-02-08,1.0
2023-02-09,1.0
2023-02-10,1.0
2023-02-13,1.0
2023-02-14,1.0
2023-02-15,1.0
2023-02-16,1.0
2023-02-17,1.0
2023-02-20,1.0
2023-02-21,1.0
2023-02-22,1.0
2023-02-23,1.0
2023-02-24,1.0
2023-02-27,1.0
2023-02-28,1.0
2023-03-01,1.0
2023-03-02,1.0
2023-03-03,1.0
2023-03-06,1.0
2023-03-07,1.0
2023-03-08,1.0
2023-03-09,1.0
2023-03-10,1.0
2023-03-13,1.0
2023-03-14,1.0
2023-03-15,1.0
2023-03-16,1.0
2023-03-17,1.0
2023-03-20,1.0
2023-03-21,1.0
2023-03-22,1.0
2023-03-23,1.0
2023-03-24,1.0
2023-03-27,1.0
2023-03-28,1.0
2023-03-29,1.0
2023-03-30,1.0
2023-03-31,1.0085962119950127
2023-04-03,1.0081824025563728
2023-04-04,1.0225917814198464
2023-04-05,1.0188003711489007
2023-04-06,1.024780924791054
2023-04-07,1.0105971071524793
2023-04-10,1.0234382684485945
2023-04-11,1.0464805545272797
2023-04-12,1.0651388766174787
2023-04-13,1.0740549667530466
2023-04-14,1.0405288914057507
2023-04-17,1.0330487324667557
2023-04-18,1.0273652210812745
2023-04-19,1.0313529791893508
2023-04-20,1.046179698463047
2023-04-21,1.0092363156277933
2023-04-24,1.022570949352928
2023-04-25,1.0509247583064767
2023-04-26,1.075069871994869
2023-04-27,1.1052893962881591
2023-04-28,1.0822109098651893
2023-05-01,1.0538168420433474
2023-05-02,1.031532760227793
2023-05-03,1.0619486892537586
2023-05-04,1.0691306419691327
2023-05-05,1.074554186199652
2023-05-08,1.0818050842751237
2023-05-09,1.072058892898754
2023-05-10,1.109634787703037
2023-05-11,1.1095946461786352
2023-05-12,1.1084928775999914
2023-05-15,1.108122712051629
2023-05-16,1.1220560556458887
2023-05-17,1.1304776571919442
2023-05-18,1.1149615662956525
2023-05-19,1.123086018139957
2023-05-22,1.1481515221619223
2023-05-23,1.174634106732884
2023-05-24,1.2091465008636049
2023-05-25,1.189504802701669
2023-05-26,1.165083482692733
2023-05-29,1.1672325316551568
2023-05-30,1.188618895970535
2023-05-31,1.2169700081587103
2023-06-01,1.1798408179482072
2023-06-02,1.2149254807849754
2023-06-05,1.1918689412593515
2023-06-06,1.1824562218839987
2023-06-07,1.1602821187525059
2023-06-08,1.1488924103295073
2023-06-09,1.165500082398861
2023-06-12,1.1713903943192718
2023-06-13,1.1434919161675825
2023-06-14,1.1044882776898146
2023-06-15,1.1107486631461256
2023-06-16,1.15325417270451
2023-06-19,1.1574722640561534
2023-06-20,1.1167770655368188
2023-06-21,1.1282762539507751
2023-06-22,1.1080743366910988
2023-06-23,1.0626764309676038
2023-06-26,1.0870433097424115
2023-06-27,1.0724195736593032
2023-06-28,1.079194724166915
2023-06-29,1.1146781401894987
2023-06-30,1.1317091560711006
2023-07-03,1.1101429531787004
2023-07-04,1.0896220885891423
2023-07-05,1.1289768097416808
2023-07-06,1.136218240166151
2023-07-07,1.127752806417768
2023-07-10,1.144441165424
2023-07-11,1.141217361271325
2023-07-12,1.1357324087322869
2023-07-13,1.1331439140501667
2023-07-14,1.1095240942276223
2023-07-17,1.112233297569099
2023-07-18,1.1159016887028352
2023-07-19,1.0851569708912785
2023-07-20,1.0901558328318792
2023-07-21,1.0888537085015195
2023-07-24,1.1275116249193893
2023-07-25,1.0606171016676453
2023-07-26,1.0680539642437317
2023-07-27,1.0985635372308478
2023-07-28,1.060588398502252
2023-07-31,1.0577112467080467
2023-08-01,1.055394803725176
2023-08-02,1.023257902807919
2023-08-03,1.0130067288514453
2023-08-04,0.9980944247858614
2023-08-07,1.020131913271044
2023-08-08,1.0568527735913416
2023-08-09,1.085821811407369
2023-08-10,1.0872910613763476
2023-08-11,1.0735320718544594
2023-08-14,1.0541722814231695
2023-08-15,1.0724400739759257
2023-08-16,1.063320937903396
2023-08-17,1.0678254280433972
2023-08-18,1.074954862383887
2023-08-21,1.0737582717500411
2023-08-22,1.0966938105676498
2023-08-23,1.1275762220205365
2023-08-24,1.1189530910850174
2023-08-25,1.1323521938700971
2023-08-28,1.102254268372889
2023-08-29,1.1052303100774372
2023-08-30,1.116542036972824
2023-08-31,1.115446177305937
2023-09-01,1.125831193507878
2023-09-04,1.1121888770707387
2023-09-05,1.1304226838610114
2023-09-06,1.144921889144491
2023-09-07,1.1328455945405982
2023-09-08,1.1860822552782042
2023-09-11,1.1814529745986697
2023-09-12,1.1449183167426655
2023-09-13,1.104457704352199
2023-09-14,1.121741493647956
2023-09-15,1.097712527159992
2023-09-18,1.136772647803312
2023-09-19,1.1070462964287011
2023-09-20,1.134915827204601
2023-09-21,1.128796111857237
2023-09-22,1.1090844103925193
2023-09-25,1.0951285554792525
2023-09-26,1.1133379854920034
2023-09-27,1.116336696873528
2023-09-28,1.1210982328130017
2023-09-29,1.1262754754049953
2023-10-02,1.1347093708327467
2023-10-03,1.1182637555699688
2023-10-04,1.120103759923409
2023-10-05,1.1273749299343105
2023-10-06,1.0833460091705098
2023-10-09,1.0654389737776284
2023-10-10,1.0852812439458628
2023-10-11,1.1022524784487981
2023-10-12,1.113191165816984
2023-10-13,1.0970869354002282
2023-10-16,1.092392430658749
2023-10-17,1.090407216214874
2023-10-18,1.0846463462882279
2023-10-19,1.0952054314232402
2023-10-20,1.128331989371706
2023-10-23,1.1435571902623742
2023-10-24,1.1326569829699038
2023-10-25,1.1626634441110746
2023-10-26,1.1804643465062252
2023-10-27,1.1810937202847844
2023-10-30,1.2089886720100391
2023-10-31,1.2266811016841022
2023-11-01,1.2423761399083206
2023-11-02,1.202730664364941
2023-11-03,1.1829899193071514
2023-11-06,1.2068226413892382
2023-11-07,1.180461466128265
2023-11-08,1.1997772565570186
2023-11-09,1.1653992946015697
2023-11-10,1.1627876525124419
2023-11-13,1.1669441089776351
2023-11-14,1.1593245556884089
2023-11-15,1.1232214519551227
2023-11-16,1.1006483385205275
2023-11-17,1.0919245162289613
2023-11-20,1.0694265937509946
2023-11-21,1.0872208822250762
2023-11-22,1.0759760484290728
2023-11-23,1.102431894424086
2023-11-24,1.1402193220609258
2023-11-27,1.1531400097916387
2023-11-28,1.1119005525162609
2023-11-29,1.1255653846858786
2023-11-30,1.1088139880792305
2023-12-01,1.1234987265903973
2023-12-04,1.1502553062967096
2023-12-05,1.148195523296648
2023-12-06,1.1743746187924564
2023-12-07,1.1761988711628029
2023-12-08,1.159438421038367
2023-12-11,1.1840618360889468
2023-12-12,1.1678697232495168
2023-12-13,1.1899723436717888
2023-12-14,1.2277618241950936
2023-12-15,1.2244449483824598
2023-12-18,1.218741550426424
2023-12-19,1.250379947079551
2023-12-20,1.2934769370817096
2023-12-21,1.2797981520348611
2023-12-22,1.2446492452532496
2023-12-25,1.2342557316573233
2023-12-26,1.252602506610124
2023-12-27,1.2540482235195336
2023-12-28,1.2649671536869127
2023-12-29,1.2535371852227577
2024-01-01,1.2471680873503435
2024-01-02,1.2581219333364497
2024-01-03,1.220900260526596
2024-01-04,1.2274428693150181
2024-01-05,1.2409248139470348
2024-01-08,1.2339947168521919
2024-01-09,1.2554719531413938
2024-01-10,1.2039595545325286
2024-01-11,1.207199165665557
2024-01-12,1.2139814617311195
2024-01-15,1.2395093113466928
2024-01-16,1.1962109072791658
2024-01-17,1.1928316841788775
2024-01-18,1.212826849034949
2024-01-19,1.1997621212667708
2024-01-22,1.219658776257683
2024-01-23,1.2240090166613706
2024-01-24,1.217499713583065
2024-01-25,1.2373795267356873
2024-01-26,1.2231573831937006
2024-01-29,1.2276508147371767
2024-01-30,1.2287331055301538
2024-01-31,1.2432441253144748
2024-02-01,1.2210882505536964
2024-02-02,1.2557397600584035
2024-02-05,1.219816083157664
2024-02-06,1.2420371638632242
2024-02-07,1.23402072784728
2024-02-08,1.2355798927995807
2024-02-09,1.2197585578680754
2024-02-12,1.244514036639687
2024-02-13,1.2425990326345164
2024-02-14,1.2556765306950972
